RISK_REWARD_RATIO,TIME_STOP_BARS,VOLUME_MULTIPLIER,ATR_MULTIPLIER,total_trades,win_rate,roi,max_drawdown,profit_factor,sharpe_ratio,calmar_ratio,final_capital
2.0,12,1.5,1.5,3269,41.29703273172224,-59.6809140502642,59.987339862451684,1.2617927178113468,-0.6885806950407383,-0.9948918252936352,40319.08594973594
2.5,12,2.0,1.5,3005,40.33277870216306,-59.286266163093394,59.59569130665262,1.3068502241701139,-0.7026077790537627,-0.9948079276072651,40713.73383690637
1.5,24,1.5,1.5,3237,41.92153228297806,-62.051811881469554,63.52455278443395,1.2270506576908042,-0.7248988234077133,-0.9768161940791297,37948.18811853034
2.0,12,2.0,1.5,3014,41.70537491705375,-59.62755705694157,59.93438838328272,1.2264040977929385,-0.7534908663117733,-0.9948805463004151,40372.442943058544
2.0,24,2.0,2.5,636,41.509433962264154,-26.105673158615623,28.887770513922106,1.2402225872264159,-0.7588954811905968,-0.903692901673887,73894.3268413845
1.5,24,2.5,2.5,607,44.3163097199341,-23.68381210931255,31.51592513200733,1.107899912579905,-0.7605998941635601,-0.7514871294468033,76316.18789068746
1.5,48,1.5,1.5,3176,40.90050377833753,-65.7353164045118,66.32863547207555,1.2715831138955753,-0.7645595240738019,-0.9910548579306515,34264.68359548808
3.0,12,2.5,1.5,2512,39.72929936305732,-61.29553773136227,62.21496276098032,1.3188865565132482,-0.7772733588508784,-0.9852218021386538,38704.462268637675
1.5,24,2.0,2.5,637,43.956043956043956,-25.470038534146255,32.37540000644239,1.118145387073643,-0.7927629779485763,-0.786709616841119,74529.96146585385
1.5,24,2.0,1.5,2980,42.080536912751676,-62.144408718254255,63.740015557080184,1.2032826691787837,-0.7991010156579481,-0.9749669524727832,37855.591281745736
2.0,48,2.5,1.5,2409,35.36737235367372,-63.41145045243582,63.942506248003816,1.5950912933436823,-0.8082363721157431,-0.991694792294999,36588.54954756438
1.5,48,2.0,1.5,2922,40.930869267624914,-66.2275811929004,66.8470730544832,1.2512758737647098,-0.8512528868246985,-0.9907327002772748,33772.41880709956
1.5,12,1.5,1.5,3303,43.869209809264305,-66.0433729720457,66.56993658942011,1.1049540039998846,-0.861682054996783,-0.9920900688155666,33956.627027954295
2.5,12,2.5,1.5,2521,40.14280047600159,-63.935379275190876,64.84817801297514,1.277314605412696,-0.872933161517742,-0.9859240650122564,36064.620724809305
1.5,24,2.5,1.5,2507,41.603510171519744,-64.22079673248065,65.57756091496348,1.2025074106215436,-0.9173625565387727,-0.9793105421495899,35779.20326751922
1.5,12,2.0,1.5,3041,44.13022032226242,-65.55530331288864,66.52968225177814,1.0792158714305402,-0.9341664991040416,-0.9853542222672579,34444.696687111405
2.0,12,2.5,1.5,2529,41.39976275207592,-64.08881385857045,64.72237861601636,1.1999977475179564,-0.9482513573051515,-0.9902110402770469,35911.18614142958
2.5,12,2.0,2.0,1346,42.199108469539375,-47.05215481926037,49.38303613803693,1.1530844507113338,-0.9830949497564502,-0.9527999592357747,52947.84518073944
3.0,12,1.5,2.0,1384,41.54624277456647,-48.67613655700539,51.087715174724465,1.1812462455119364,-0.9887212811555378,-0.9527953323128415,51323.863442994894
2.5,12,1.5,2.0,1385,41.87725631768953,-48.31546815672005,50.59073562666126,1.166685808014691,-0.9905786639840513,-0.9550260054186257,51684.531843279634
3.0,12,2.0,2.0,1345,41.858736059479554,-47.78860187284359,50.24188350205158,1.1654156532333713,-0.9956016089499635,-0.9511705879993968,52211.398127156506
1.5,48,2.5,1.5,2465,40.24340770791075,-70.2055271448706,70.6943680709944,1.2513396232234977,-1.0229943789178575,-0.9930851503526719,29794.472855129545
2.5,12,2.5,2.0,1231,42.40454914703493,-47.121844532705886,49.270410536758746,1.1287402115543708,-1.053250352944021,-0.9563923665208777,52878.1554672942
1.5,12,1.5,2.0,1392,44.18103448275862,-46.41441007912649,48.31995255004279,1.0544770257444511,-1.068758733786312,-0.9605640657667696,53585.58992087354
1.5,12,2.0,2.0,1353,44.49371766444937,-45.44287426329283,47.38296525297737,1.0410462394404723,-1.0706045088201994,-0.9590550954477752,54557.12573670718
3.0,12,2.5,2.0,1231,41.99837530463038,-48.53723312218033,50.725344663809516,1.1394138929591067,-1.0887030913087998,-0.9568635451147498,51462.76687781984
